OTU_ID	SRR29259907	Taxon
889d90d61e430cba6bf732b176b34bde	14	Unassigned
787a0bf1120428126353266081f8e0cf	7	Unassigned
2287d172a7afb81f5adff4cdf4b680e1	88	Unassigned
540f3ae7d2b23a81557c9d96cf0e454c	15	d__Bacteria
006d2182a3ae05429095e0f967bcb9c9	16	d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Solirubrobacter;s__
a7360841aa73363b39802c72eece8718	42	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__
bc542461a056bc7ac9f917814265e15f	4	d__Bacteria
246e1c4ab7e50760b3d0d039cb7f5cfe	63	Unassigned
32be9d28e945b4e5889c331dfcd9d9ad	8	d__Bacteria
87133dd98afba68c3d1e8c4786b18544	4	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__
553dac2ba292646a85e0db480efbb156	12	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__
b37f721310f396418a280728372e3b91	1856	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__
bf5abadb5c5925250c948176d4d7c5a2	10	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales
8d933131b42cd1f4869c6aba013fa82d	26	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__
ad5b80b60e655a6d31c3c566c96d5957	58	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__
a6b4eccda97771693cb4cd4e3850127d	124	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__
ad70f3f9f45ce2de33dc30aad3f6c1eb	889	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__
f61993aabf726252402300246355596f	40	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__
2fb2a7a03f3d39cd132c41620f67e454	3	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__HT002;s__
e0b47aacfe9736b533eb111d4b1e8843	13	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__
7fd459474519fe20cd7499e3e1dc25b6	124	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
ca9720fd7903954d2a1b1e5d1be42741	984	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__0319-7L14;f__0319-7L14;g__0319-7L14;s__
4ebd91b533aa21d58cc718160cbf73e2	198	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__0319-7L14;f__0319-7L14;g__0319-7L14;s__
ec79bc82d13ae8b87f3382eaac7608f3	72	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__0319-7L14;f__0319-7L14;g__0319-7L14;s__
83cf6e5236dfd96b97f62ef18f605d00	150	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__0319-7L14;f__0319-7L14;g__0319-7L14;s__
1c4591b48e19a5cad77d62d2167b1837	1196	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__0319-7L14;f__0319-7L14;g__0319-7L14;s__
cec91e340d59bdce5822eae3a77bd4fe	79	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__0319-7L14;f__0319-7L14;g__0319-7L14;s__
4ff33439ec049d2f0186b5e7713e7144	23	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dubosiella;s__
08222e75ded755308d97d60855cc978b	8	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Ileibacterium;s__
17bae5af13886e4f60a0e612f07be363	35	d__Bacteria;p__Firmicutes;c__Bacilli;o__Entomoplasmatales;f__Spiroplasmataceae;g__Spiroplasma;s__
f85b25918cdbd814b7b6709b2d47a3b8	14	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__
45f8e621f854ee31bb2496dc03403a79	9	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
41eddd3dea828ef4d3c9832b99c09e80	5	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
8fc11b786c5bb0485f7361546e2f6f27	636	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
da096bdea92c6fb68c2ac2986e372545	5	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae_UCG-003;s__
4b4db30cea91f657feb3955af23ec217	2	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__
f0936c3fe75e14b6b429a2b274d3917f	3750	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculaceae;s__
04111e9dda01a2b10e636343bf602aad	6	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella;s__
718e4c8e25c8879ffdd2008cfa2b78cb	12	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculaceae;s__
d39a7ebf05f60937ce302373d9d12aa3	13	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculaceae;s__
df3cb27f13d3209a6ae67aa9abd16acf	7	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenellaceae_RC9_gut_group;s__
6c1c83a10db95589e12aef39a9e5769c	20	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__
9365b889662f351170aee2336f1c58e3	50	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculaceae;s__
f520ce8bf73e11dd6b00799981082707	11	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
4991460725c14999064f82d91142579f	1164	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella_9;s__
a7a90adaf7d25491adc3fa14c5b86bdd	5	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella;s__
91a2f6a66cdc26c7420ec9b5ac52afd2	8	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__
1e7043bda5d9db1753b2bc3fa8540e4b	15	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculaceae;s__
577fd3b342cedc827f1165d2cd2a4800	10	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculaceae;s__
478783ab3710398a7ecd1af9b35d35e7	14	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculaceae;s__
1edd2c1306aa1e23cd2802cb9e11c942	11	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculaceae;s__
e619a79361b5d4611fcf38b6a374dbe0	10	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__
62c53f144d5be707d7f23be45363bc70	12	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculaceae;s__
