# Constructed from biom file
#OTU ID	SRR29259900
07c407e4c20f2bb90049d4ca5dba1163	122.0
40b1ef15853ab276dd041b776d761529	3.0
b02961bb97f82e0ae4fe1bb435a93b43	794.0
f90da439e2052d0a71a5e927df368673	585.0
fb1012aa2d6ff18443cd7babef7a47a6	2.0
82cb324a4f0bb1655599f53a6eefb185	15.0
86295772411ab5f391bef9b01d02642f	198.0
0fcef691be5196032625dbb0b43cff34	133.0
48c6bfacd585d3008761d90238ed95c4	394.0
e99d03d646526a3d38d6610732bd89d1	833.0
a7360841aa73363b39802c72eece8718	20.0
246e1c4ab7e50760b3d0d039cb7f5cfe	18.0
123746dce7bf9995258ff93a01e1993d	22.0
854e1cce914f0893054e2fc818550cb8	10.0
1090a8d55cdf6abd102db69fab71eaed	5.0
3eab6aa7a07433e1846d2858db7b663d	280.0
96f2b2a1ef09ddf5d4690835eb29b831	573.0
87133dd98afba68c3d1e8c4786b18544	9.0
fce1b8ec4ff6b68c46b25589d2dcdb7c	11.0
50b1f5401e863f0d35705b5d835eee33	725.0
7014c4f31f3244a3c44a071e722e41ab	580.0
8d933131b42cd1f4869c6aba013fa82d	10.0
b466c96ab0ee68de939fda95bb51d8ac	36.0
ad70f3f9f45ce2de33dc30aad3f6c1eb	15.0
c7dc90396f7c4b134e497190bbe620c6	8.0
f57e0359f112d152bd60fc2a1d93f1db	628.0
d71f88c321b10271f76565388520a982	700.0
b6eb18147a81f786d64114658acaab3b	27.0
8468c35f29b774ff6ad826c844bc6015	31.0
1b2ee1b540802d732833a2b564380ee6	13.0
4ff33439ec049d2f0186b5e7713e7144	28.0
1b7f990e566cb0b79defb3f0f80aeb48	4.0
08222e75ded755308d97d60855cc978b	7.0
e709989df2cd7d1074b39b0109abddbd	32.0
b142a329dc446898a76d1507b8d25386	2.0
62cf0ed1644333ac68e50c2d1f33582a	7.0
45f8e621f854ee31bb2496dc03403a79	15.0
d8c58b24aebf5b185517a2ef757eeb6b	4.0
23a0dc940424218158356c427867fb7c	1318.0
37e8dcf9d13246ccee7e9b6f51907bed	23.0
67af012fb2435f5f3985c72bdd1b5167	693.0
ad67fa2787249b4416f4daaca9280c4e	517.0
8544561b94b8caa149be632c9b5446f3	4.0
9b89f91d5e426240aefacfd965c3e71c	356.0
40deb6b4b33e0666500b4550530298c9	5.0
6c1c83a10db95589e12aef39a9e5769c	15.0
9365b889662f351170aee2336f1c58e3	55.0
f520ce8bf73e11dd6b00799981082707	10.0
be3f0aeef72a6cf0e9e63e9f83fd0e47	399.0
64b56349881f784f44267fb9df70bc9b	50.0
0c146fbd1e84dd4511e385fd4e297015	129.0
407d64d6f013eb3097bd0eee3c72b63f	36.0
57856e5354f3c614812584dc893d4678	61.0
41c6f9fd0d2eaef7168ac0ac17901a00	14.0
b13b7c26f07a41a2af9113c2be63aabd	9.0
c0928b060cd4f9b61dac2d1bc3417832	2.0
66e4250bed4bf16660500bd543a1b6d6	8.0
1e7043bda5d9db1753b2bc3fa8540e4b	21.0
3385cc44693536596a61fc4e3ebfceba	7.0
577fd3b342cedc827f1165d2cd2a4800	6.0
478783ab3710398a7ecd1af9b35d35e7	16.0
e619a79361b5d4611fcf38b6a374dbe0	10.0
a35a6d95266fdfe995853ffbcaa041db	3.0
e7638ecfd78078255eb1db483f533f27	47.0
3d08d22651471a67c741a17bef1a6854	87.0
62c53f144d5be707d7f23be45363bc70	17.0
7ab66604dcdd71cc270367a9e4509c22	2.0
ff74b06531d3ec395e4947598ce08b44	4.0
8e83cd2f00b6a9c269f1a6f1e5b31aa0	5.0
1ee441359c46e7cf77c980e7b9657005	19.0
19e1b41edc8c881a64ad360f8728c080	10.0
4473b05aed4416131204dff107971cfb	4.0
8a0974534d8cc9585b2cab8a0fa32831	18.0
e1ac24f9edd9cc229bf927398c8cf66a	53.0
273e504c84b128a596127630da6c73e7	135.0
9c65f4056c4b915a1ecf6991ab9da319	19.0
f31f171dc7d2f994f5dc407c0bbadfdb	37.0
5a88e5306758cde59d6e1cf9dccba22f	73.0
bc8dc3833c853789265a5ef062485b4a	781.0
f5350ead44dec19f4c065b84bab28291	1538.0
ef49d868ab3e6dd39fa6686bdb9677ba	444.0
31ad3f489b9abbc04eadb95f8fe0136c	187.0
3fbd72f17b467287ffe6a7f873e7d2ed	889.0
7d940501955c8a1e6deb9dcb155733f1	19.0
ed1b6c20566794bccc03227068969b0e	2456.0
b612de7f928a5232b74d54156cfcc47a	3.0
450974b8a23b2a279697e465cd6ab9b4	3.0
cca2d40a7cb144aeb264b87bd8e78fa3	3.0
