# Constructed from biom file
#OTU ID	SRR29259927
ab3b2206f39d398e47c796e2c36e1c5d	104.0
d487e62613e298e44f836f9963ae45ef	2.0
0d3566464d1bebabbd4da8713febd160	287.0
a797f1eda9007d8c05e1f6aa1a40818b	963.0
4272625d7650a8314cbaf2e6d5f41119	18.0
9014cc59b054c5ade3bab481ce7f244b	1161.0
a7360841aa73363b39802c72eece8718	344.0
246e1c4ab7e50760b3d0d039cb7f5cfe	66.0
30c260d51361baf12afc7689b91a2b59	3.0
e4575eec0f2a54c19e3af8524d675352	6.0
41c2230cde30a7df26456452f7927cfe	1714.0
e15ea6aad991142791dea752138dda83	5.0
33975c29e794f54460b6c03b09b6c7c3	92.0
42ff383da704d3a43ebdec3ba6cb3fd6	40.0
012a8e38fa7e493d89d5002842bd6933	785.0
a036051cade5a0140e10256e50500256	897.0
347a677883473f35ba408bc61e5e1fc0	366.0
a18afa3dff1f46bb26bd46898469bb5b	345.0
3f466d5b58ca401a616ad68e2a11d341	808.0
52df58b0dabf6f4c31cc607180ade586	96.0
9a85c8688127e16ba70abeb36f2fae16	652.0
09d8738ff41f4ed9ae2d1bea4c5b38d8	605.0
0a277bfaaa7590590a3f1fa28c3d55f6	21.0
dd4ee0c4dfb2975e097579110b085e38	123.0
954bd821b0f5a0435261a714eb178f98	666.0
4cefa7b62487a5d1c7e6cc4e7b115297	304.0
13b8a97067b2237e5c11c33209c3541f	205.0
b253c89a42cbf2bf54240ac889c496ff	147.0
8534d096fb31cf2acaecaea1f45286cf	5.0
85ea8ec28de11e034711b20fb1942e79	9.0
04111e9dda01a2b10e636343bf602aad	4.0
9365b889662f351170aee2336f1c58e3	31.0
4aa6a39986d68d7257c6571cdfeaa620	796.0
3fe491ea7640db64d9f2fcc97ded6835	134.0
f150069cbf18e203b21e68a6235c913d	30.0
2a3d882e18b21cbfe011e6fab322cd9e	429.0
3c8dda5d3de976a3a191a9494e05120b	132.0
d927762575bd038fcaea9903b70d0a97	36.0
0f4d9d86164d8fc0fbec7b430a46d230	72.0
eb240eb47a5cc13f01dcdde2c25ca0dd	826.0
17b37f5487c538f291dbd84fde95cc5e	5.0
92c38e8d15e1f45c2d5bafd24795ee8e	7.0
8e9c97ba93a52db6b1bf3117dacdaa6e	985.0
273e504c84b128a596127630da6c73e7	676.0
5bb86e12054d9fcf7e87872b479bc6c9	63.0
9c65f4056c4b915a1ecf6991ab9da319	244.0
b6f2d3ed8602963fc138104acd6110d0	674.0
2e892d34b729eda4f764b2d1739ca669	2.0
5350a82478c24f517773c278e90e77b0	395.0
