# Constructed from biom file
#OTU ID	SRR29259914
eb655a91a243dd5365cf5885fa5cf06e	3.0
699c48dc3fc71052ae838c5ccfc72357	581.0
e7eb3df0e55e7b9284f1062927872abc	4.0
59c6701a3e928fe42f9911672d593db3	388.0
5658cdce944347f4114c0eff31ef5145	151.0
1e28497231213b459924de4809313a2a	204.0
9014cc59b054c5ade3bab481ce7f244b	340.0
a7360841aa73363b39802c72eece8718	38.0
246e1c4ab7e50760b3d0d039cb7f5cfe	10.0
4a0be800257b19e9fcac60e8160a37e3	42.0
32be9d28e945b4e5889c331dfcd9d9ad	2.0
75ff0052d5a411f3832b73d40bb5d938	142.0
ef454f1b608e001879ffeda5e870de28	6.0
c41f493e690e041b9298f173053dcd51	9.0
0a3f815d8dcd051c9c518299e0a94098	400.0
4c17844e29201190bb3247e2f7efec5e	2.0
87133dd98afba68c3d1e8c4786b18544	12.0
fce1b8ec4ff6b68c46b25589d2dcdb7c	8.0
8d933131b42cd1f4869c6aba013fa82d	14.0
ad70f3f9f45ce2de33dc30aad3f6c1eb	13.0
08c989d081e1a84f45749394198055a9	163.0
7fd459474519fe20cd7499e3e1dc25b6	13.0
b4c5a22d2b52f74fad860aa888515d64	34.0
ca93ffb7196b9ceccf1e4800dc6da3e4	248.0
340c7b1d4d335ca7e584573e42c7ec5b	377.0
af21c21e91b0b8093734ff67597b6997	573.0
8d92af78423d06aca93680c3c27d8929	706.0
190f990861cf34b5e0ccd8d999105c30	474.0
d51c658df6139329e3f99ab5f3bb17db	36.0
456344c7c49883eaebbc5f8421393b77	8.0
1b7f990e566cb0b79defb3f0f80aeb48	10.0
c3a63d6b4583a543cc20cab6bbacdea8	11.0
7df48bb30c5f351dbb16af1562388238	512.0
b61831b41d6324c385e8c09b004343b7	73.0
b3e6fd53831fcfa2b6c190368c4a7f33	65.0
ef0a0c25e1d87588a2e8befe53bc00db	2.0
92289a90934cb4346d74a7a68a8b6b3b	187.0
9f6551e9ac68daf49531c610dbe27f12	13.0
079bc4da9e234475ba29c422b90ab783	223.0
a261de5c0b7f6076ef235ea50c55f1e0	346.0
3d412da16a9445dada7624f5751097d1	291.0
b232114242f4bee068b78668d890ad4c	5.0
6c1c83a10db95589e12aef39a9e5769c	14.0
347e4f24a76ce33ebd42faf8d12a7cb0	5.0
9365b889662f351170aee2336f1c58e3	30.0
f520ce8bf73e11dd6b00799981082707	10.0
92d28c804d9f8c1682d7ca424e05a1da	5.0
f2b5c9f3fa709a2906d008fa0d3ee95d	9.0
0c4b479444d0667b43d9e59d5132e1c6	28.0
66e4250bed4bf16660500bd543a1b6d6	8.0
4c9d39bc4deb11182ea085ee547caa3f	426.0
478783ab3710398a7ecd1af9b35d35e7	18.0
81793cb95cc62dbafef181407373fdec	14.0
e619a79361b5d4611fcf38b6a374dbe0	6.0
adf8519789d5a500cbbe78fb76fbf330	49.0
a6f3c67c50a453473dca390a91bb6e57	6.0
1ee441359c46e7cf77c980e7b9657005	20.0
19e1b41edc8c881a64ad360f8728c080	10.0
4473b05aed4416131204dff107971cfb	7.0
92c38e8d15e1f45c2d5bafd24795ee8e	12.0
8e9c97ba93a52db6b1bf3117dacdaa6e	215.0
273e504c84b128a596127630da6c73e7	106.0
9c65f4056c4b915a1ecf6991ab9da319	111.0
25e3fdcdbd4c7dd1142353b5a5c0ca33	152.0
a855fa82ee9606dc8e6f8ba7adfd0419	375.0
8b5d59b7642bac4ef94f1ddb5d83bb54	1003.0
52e4f2c828ea1a3ff694ac67f0ad8b7c	513.0
f5350ead44dec19f4c065b84bab28291	4.0
513f6b661c1998dfa26177f156c8db4c	5.0
e7e9994ad74bc5987e2d08312172e6de	455.0
5e2ea412823d06a6278b8dafd95955cc	739.0
21c68fbbc7a90cb7e26c190a19f71327	406.0
dbfe86c4f4bcb026ec266ec1d5501c77	19.0
16d77812b8002bb6797a8785be187966	506.0
69d5f70d41e35076fc97455b1b4f0aeb	10.0
8f350b90469b78ebb1bc393ac70fdc6b	2651.0
d58f195f4b8534e8bb751a4373217193	25.0
239c5c488c29293f623ac0108ad336a9	10.0
2a905eee2b28a1b80ff93092fe4a3895	9.0
8adbdcad8cf530664e068bdd230740d7	410.0
49f550950ee623a4d8866cb80ab6da4f	16.0
e7168d2766c58885998147167c24e587	488.0
e770b3e3619753fc36f8b0a18470ccf7	479.0
2b5a004192975f3701dbbac1bb0de4ae	24.0
