OTU_ID	SRR29259954	Taxon
25bf5df77d3b3d5144ff591ba75ff31e	107	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__0319-7L14;f__0319-7L14;g__0319-7L14;s__
ab232a2f7595678739d9a3834309a038	523	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__0319-7L14;f__0319-7L14;g__0319-7L14;s__
89ca8e65f0dcb254afa7ff067706c73e	129	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__0319-7L14;f__0319-7L14;g__0319-7L14;s__
3f7168e82664d404717e5cce82a297f0	23	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__
29225d50f3819d442d0c500191a6af05	42	Unassigned
a7360841aa73363b39802c72eece8718	49	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__
246e1c4ab7e50760b3d0d039cb7f5cfe	20	Unassigned
eadd3dae19414d21e924e3f311eef181	13	d__Bacteria
0f46c8b8781cb7f0f6bcfec254b80bc7	137	Unassigned
6250ace37848628cf0f3e3d845a74d3c	436	Unassigned
2831a8a59a869efba853c2a29a8b28f7	112	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales
082d2b3562246284bcd8d9afafa0d280	7	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Dolosigranulum;s__
b9d8b6699e0a98991226f3c337caaa1d	8	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__
a5610ca10c122c6a2f12ba4fa515e940	398	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Domibacillus;s__
4c839bf9cb14138b8f4eb3c6274e178f	168	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Domibacillus;s__
cbc3496a4fb72a44b673c3613d82cf68	21	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__
4a1c56a1a7cb0c08ffb29b3199a5b9c4	18	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales
cd813371cafc981e11d8856b7385711a	30	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella;s__
13d3a9459d3030ca331b12527203757e	334	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__
e1000b74076f0db668f379ade7024bc3	124	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__
