OTU_ID	SRR29259921	Taxon
bd3ae0cad186e7947f8f55dad79b09d8	145	d__Bacteria
1a37582e0566e0aad682a73c309b70b0	7	Unassigned
310d14190f76afc64d9956413ef41db7	1466	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae
aa6e13c5efd38ee97840496fbe36ada6	66	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__
3f7168e82664d404717e5cce82a297f0	69	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__
ee32b4a75c80dba044e221c4aae0c7de	236	Unassigned
7f38598fecba4aba8c38517139fdf843	701	Unassigned
be2615c5ff716863c9bf7cba77505659	5	Unassigned
a7360841aa73363b39802c72eece8718	230	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__
246e1c4ab7e50760b3d0d039cb7f5cfe	67	Unassigned
854e1cce914f0893054e2fc818550cb8	174	d__Bacteria
eadd3dae19414d21e924e3f311eef181	91	d__Bacteria
b4df934367af4ec293a92ffaf3dbe68f	555	Unassigned
a75c785e29d9a669842d005b10a527ca	83	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__0319-7L14;f__0319-7L14;g__0319-7L14;s__
2fbb973572e31e9d7760d793d877c9c1	563	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__0319-7L14;f__0319-7L14;g__0319-7L14;s__
87133dd98afba68c3d1e8c4786b18544	16	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__
bf5abadb5c5925250c948176d4d7c5a2	11	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales
ad70f3f9f45ce2de33dc30aad3f6c1eb	5	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__
7b4f96fa4f20c7a9e0ccd4a6b776c27c	5	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella;s__
7fd459474519fe20cd7499e3e1dc25b6	22	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
99dd20610a9592be7a3602dfbefb2797	64	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
29bb5b10a67ef9ace8abca14972e961e	271	d__Bacteria;p__Actinobacteriota;c__MB-A2-108;o__MB-A2-108;f__MB-A2-108;g__MB-A2-108;s__
51aba4589d84be75a257d9ec9eb7d57d	547	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__0319-7L14;f__0319-7L14;g__0319-7L14;s__
4ed6ac03474234f3a6dc176ef586d6c1	141	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__0319-7L14;f__0319-7L14;g__0319-7L14;s__
a28c6203612129529185a49404212c14	1080	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Catenibacterium;s__
8f3f853ade08dbf18f1e8070fe054258	7	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Catenibacterium;s__
4ff33439ec049d2f0186b5e7713e7144	38	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Dubosiella;s__
17bae5af13886e4f60a0e612f07be363	11	d__Bacteria;p__Firmicutes;c__Bacilli;o__Entomoplasmatales;f__Spiroplasmataceae;g__Spiroplasma;s__
4c38b2bad1ccf5e7791e5a86e75e9f66	5	d__Bacteria
e709989df2cd7d1074b39b0109abddbd	34	Unassigned
faffdf3cd6f9044049ef05cdc280d5c0	18	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__Mitochondria;s__
78300a734dcab36e0d9166a09910e122	7	d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__Clostridia_UCG-014;g__Clostridia_UCG-014;s__
d3db21243d52d5bfb9b8443c4a6418a4	1147	d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteriaceae;g__Rubrobacter;s__
