# Constructed from biom file
#OTU ID	SRR29259944
e663f5bfe80f61b4856aabf2fd20329b	121.0
06f307e90428efafff2c290dd0f55165	7.0
1c80ab148a44d2a9666429523a8f2abd	7.0
5e767d0ea76608fb1329b8361d664bab	128.0
635e6c6bc1d8caa36aae49040f0fd608	58.0
5e193ac4bdd86c7232c87b7325ab31fd	622.0
25cda92b404c11923a5e40cf3cddea61	158.0
011fb5e9cc6941973eced875b1911b9e	79.0
6cc8e7271537dfee21324f83d98164f9	148.0
316101c9601dd6c5a7686e4a937251fa	805.0
607f08fea44839fa6b5681da98bd5da0	15.0
7fff18042ac15c3c4349174cca498576	109.0
37059338c6e37b45240b075e80a7d12c	66.0
0397d17a3c2f5b6a5c2dfe5e662b425c	421.0
25a443fab21c4966cfb09372cf9e0fe1	99.0
60e4edb416b2dbf47cc5d689d507f446	4.0
ecc9ba1f61b4cd6a64f6c52c49e83b53	81.0
155fbd33f84066284bcf9b17ffb71a9a	657.0
9cc87b1196b3147f3a2e90a35bfb8851	2046.0
8b44bbcfba5485cff6f148f7c4f82fff	5953.0
e15ea6aad991142791dea752138dda83	1260.0
88bf0f6ac66d52910a57ad40faa3dd0d	3.0
cd813371cafc981e11d8856b7385711a	33.0
1a39f5c488dc8977e5b7e23cc9666e1e	8.0
e0b47aacfe9736b533eb111d4b1e8843	26.0
40824fd525441333ffe73b7de103bd7a	103.0
64e5ece6fcdb9bcaea3f8020d67072a6	17.0
25aa541c13a96771857f54e78cf2f18c	9363.0
d6d82e9852753d619d673bbef1aee7d2	2.0
c445796d5c9b04f62b465f27de5e4320	330.0
35a0e75b5262f607d085dc3d414b8fb6	59.0
7fd459474519fe20cd7499e3e1dc25b6	1749.0
012a8e38fa7e493d89d5002842bd6933	199.0
efa1ccc878ac4e96b6105843de500891	388.0
930628ed7d940f1fc2c023985ffcdfc8	26.0
54e428870ed2afac0f3dc3799e9c3be6	10.0
622980864ca591f95b5b382cab9d945e	2.0
176f142e5a31cf2b9612a7d74a7b28e5	139.0
17bae5af13886e4f60a0e612f07be363	34.0
