OTU_ID	SRR29259895	Taxon
fed686ddac26480e98acfa52d60a1d75	48	Unassigned
1b149edf162a23a8756fcdc18f576ba5	163	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__0319-7L14;f__0319-7L14;g__0319-7L14;s__
5db2ae0dc6e99c58a666e5b2a6787cc0	109	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__0319-7L14;f__0319-7L14;g__0319-7L14;s__
8bb4207be2a030f2a299be158db5209d	14	Unassigned
246e1c4ab7e50760b3d0d039cb7f5cfe	7	Unassigned
3927bc4943512310cd4657ada76f9fb9	8	d__Bacteria;p__Bacteroidota;c__Kapabacteria;o__Kapabacteriales;f__Kapabacteriales;g__Kapabacteriales;s__
f696352afce5677fddafa889e6a7881c	239	d__Bacteria;p__Bacteroidota;c__Kapabacteria;o__Kapabacteriales;f__Kapabacteriales;g__Kapabacteriales;s__
fce1b8ec4ff6b68c46b25589d2dcdb7c	11	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__
8d933131b42cd1f4869c6aba013fa82d	12	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__
b466c96ab0ee68de939fda95bb51d8ac	48	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__
ad70f3f9f45ce2de33dc30aad3f6c1eb	6	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__
f52937f90ee11ae9f9cb09849bf6be2c	43	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__
12caf80c14f24ba494eb016708cdfa3e	62	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__
219ab5c4df5473b90977b81731077d14	137	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__
293266b7a79d65b40569ca4344a2d759	87	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Weissella;s__
761b6b8f91d5a14638f01db2b6752996	13	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales
e464c0fa957e4621b42ebfeedc1291ac	41	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales
5c6e6bfd815dd2accdd46e0c64a46950	73	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella;s__
cd813371cafc981e11d8856b7385711a	153	d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella;s__
7453b6f7324da159837f4de969d5122e	9	d__Bacteria;p__Firmicutes;c__Bacilli;o__Alicyclobacillales;f__Alicyclobacillaceae;g__Tumebacillus;s__
a86cd28712d35077915223036ff0b01b	699	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__
45e9d81f6c7afeecba23b26f2528baac	85	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Vagococcaceae;g__Vagococcus;s__
8882c34fcf1520282638edc17189ab22	20	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__
7fd459474519fe20cd7499e3e1dc25b6	1151	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
17eede3f2f74ed9717d8dea9702c90b4	1305	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
012a8e38fa7e493d89d5002842bd6933	936	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
cd6152a007f7b700384e6b674554f636	5	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales
4798c426027926985b4cbf5ec23c6a99	3	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
9e39f11706b2bb5c457a460732f652f2	50	d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
18feb18cfa61aeb0b754a60cf6704504	201	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__0319-7L14;f__0319-7L14;g__0319-7L14;s__
794897fde62a38473bb25e7796324461	362	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__0319-7L14;f__0319-7L14;g__0319-7L14;s__
4862c75c5e022b227d6963f3934b6804	346	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__0319-7L14;f__0319-7L14;g__0319-7L14;s__
6595bc75373bf07762c5790fa5698063	23	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium;s__
f43c6d62e6691436e767c224ff8536d8	14	d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Erysipelatoclostridium;s__
